biological_instance_id,environment_id,environment_key,dataset_id,condition,condition_field,perturbation_label,dose,timepoint,n_reference_groups,total_cells,source_reference_keys,aggregation_rule,ground_truth_path,split,split_seed,model_seeds
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~a2m,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,A2M,,,1,436,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~acsl3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ACSL3,,,1,187,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~acta2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ACTA2,,,1,448,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~aebp1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,AEBP1,,,1,384,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~aga,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,AGA,,,1,381,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ahcy,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,AHCY,,,1,20,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ahnak,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,AHNAK,,,1,309,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~apoc2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,APOC2,,,1,345,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~apod,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,APOD,,,1,351,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20260907,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~apoe,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,APOE,,,1,354,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20260907,"0,1,2"
