environment_id,predictor,split_family,fold,n_predictions,n_biological_instances,reliable_rate
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,0,367,367,0.5013623978201635
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,1,370,370,0.5243243243243243
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,2,369,369,0.4878048780487805
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,3,360,360,0.4388888888888889
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,4,363,363,0.5013774104683195
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,0,27,27,0.6666666666666666
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,1,17,17,0.5882352941176471
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,2,22,22,0.5909090909090909
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,3,17,17,0.7058823529411765
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,4,28,28,0.6785714285714286
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,0,30,30,0.7666666666666667
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,1,40,40,0.875
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,2,35,35,0.8571428571428571
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,3,37,37,0.8648648648648649
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,4,29,29,0.8275862068965517
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,0,367,367,0.09809264305177112
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,1,370,370,0.08648648648648649
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,2,369,369,0.06775067750677506
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,3,360,360,0.09166666666666666
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,4,363,363,0.08539944903581267
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,0,27,27,0.7777777777777778
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,1,17,17,0.6470588235294118
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,2,22,22,0.6818181818181818
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,3,17,17,0.7647058823529411
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,4,28,28,0.7857142857142857
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,0,30,30,0.7666666666666667
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,1,40,40,0.725
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,2,35,35,0.7428571428571429
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,3,37,37,0.6486486486486487
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,4,29,29,0.7586206896551724
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,0,367,367,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,1,370,370,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,2,369,369,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,3,360,360,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,4,363,363,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,random_split,0,27,27,0.8148148148148148
