perturbation_label,n_cells_qc,n_cells_with_nonmissing_guide_id,n_unique_guide_strings,n_unique_guide_tokens,median_guide_tokens_per_cell,fraction_multi_token_cells,fraction_cells_containing_target_token,guide_id_missing_fraction,environment_key,status
A2M,436,436,186,219,1.0,0.47477064220183485,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ACSL3,187,187,80,114,1.0,0.44385026737967914,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ACTA2,448,448,178,217,1.0,0.4575892857142857,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
AEBP1,384,384,136,164,1.0,0.3932291666666667,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
AGA,381,381,146,179,1.0,0.41732283464566927,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
AHCY,20,20,15,20,2.0,0.65,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
AHNAK,309,309,117,159,1.0,0.4174757281553398,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
APOC2,345,345,135,172,1.0,0.42318840579710143,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
APOD,351,351,145,180,1.0,0.4586894586894587,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
APOE,354,354,129,168,1.0,0.4265536723163842,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ARMC6,281,281,100,117,1.0,0.4128113879003559,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ATP1A1,10,10,7,11,1.0,0.4,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ATP1B1,331,331,128,155,1.0,0.41389728096676737,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ATP5MD,213,213,5,5,1.0,0.009389671361502348,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
B2M,479,479,186,216,1.0,0.44258872651356995,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
BOLA2,218,218,94,117,1.0,0.45871559633027525,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
BOLA2B,205,205,86,116,1.0,0.45365853658536587,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
BZW2,324,324,130,182,1.0,0.44135802469135804,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
C19orf48,375,375,127,155,1.0,0.384,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
C1QBP,194,194,85,105,1.0,0.4639175257731959,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
C6orf226,331,331,131,154,1.0,0.4501510574018127,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CCND1,170,170,59,83,1.0,0.3352941176470588,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CCND2,331,331,129,157,1.0,0.43202416918429004,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CCR10,328,328,126,154,1.0,0.4268292682926829,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CCT3,65,65,28,42,1.0,0.4461538461538462,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CCT6A,21,21,9,11,1.0,0.2857142857142857,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD151,349,349,125,150,1.0,0.41260744985673353,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD274,371,371,143,178,1.0,0.42318059299191374,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD44,418,418,130,165,1.0,0.35645933014354064,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD47,306,306,113,134,1.0,0.39215686274509803,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD58,465,465,172,186,1.0,0.4258064516129032,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD59,403,403,155,199,1.0,0.4267990074441687,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CD63,290,290,97,124,1.0,0.3896551724137931,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDC123,96,96,35,47,1.0,0.4166666666666667,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDH19,380,380,126,153,1.0,0.3605263157894737,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDK4,242,242,89,109,1.0,0.3925619834710744,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDK6,105,105,51,70,2.0,0.5142857142857142,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDKN1A,357,357,99,124,1.0,0.2969187675070028,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDKN2A,270,270,94,108,1.0,0.37037037037037035,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CDKN2B,315,315,117,129,1.0,0.4158730158730159,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CGAS,264,264,47,53,1.0,0.1856060606060606,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CHCHD2,339,339,116,151,1.0,0.37168141592920356,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CITED1,349,349,100,134,1.0,0.32664756446991405,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CKS1B,292,292,98,115,1.0,0.3767123287671233,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CMSS1,338,338,125,147,1.0,0.39644970414201186,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CORO1A,260,260,86,102,1.0,0.3576923076923077,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CSPG4,401,401,134,159,1.0,0.3640897755610973,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CST3,220,220,63,79,1.0,0.29545454545454547,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTPS1,117,117,44,65,1.0,0.39316239316239315,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTSA,297,297,96,121,1.0,0.37373737373737376,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTSB,371,371,126,152,1.0,0.40700808625336926,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTSD,408,408,125,144,1.0,0.3382352941176471,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTSL,295,295,93,108,1.0,0.34915254237288135,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CTSO,325,325,131,149,1.0,0.4246153846153846,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CXCR4,299,299,92,100,1.0,0.3411371237458194,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
CYP27A1,312,312,87,110,1.0,0.32371794871794873,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DAG1,279,279,93,112,1.0,0.35842293906810035,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DDR1,304,304,104,117,1.0,0.3848684210526316,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DDX17,233,233,89,109,1.0,0.41201716738197425,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DDX39A,217,217,69,81,1.0,0.35023041474654376,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DLL3,287,287,96,116,1.0,0.3554006968641115,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DNAJC9,8,8,4,4,1.0,0.125,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
DNMT1,116,116,43,57,1.0,0.43103448275862066,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
E2F1,177,177,50,59,1.0,0.288135593220339,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EEA1,279,279,86,102,1.0,0.34408602150537637,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EEF1G,53,53,24,30,1.0,0.4528301886792453,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EIF2S3,14,14,6,12,1.0,0.35714285714285715,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EIF3K,227,227,76,103,1.0,0.3788546255506608,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EIF4A1,37,37,17,25,1.0,0.4594594594594595,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EMP1,298,298,107,131,1.0,0.3959731543624161,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ENPP1,278,278,79,94,1.0,0.29136690647482016,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
EVA1A,282,282,80,100,1.0,0.32269503546099293,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FARSA,19,19,9,11,1.0,0.3157894736842105,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FBL,94,94,33,40,1.0,0.3617021276595745,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FBXO32,390,390,123,139,1.0,0.36666666666666664,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FGFR1,395,395,129,152,1.0,0.3594936708860759,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FKBP4,216,216,71,78,1.0,0.35185185185185186,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FMN1,320,320,81,93,1.0,0.284375,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FOS,222,222,60,78,1.0,0.2972972972972973,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FOXM1,76,76,28,35,1.0,0.34210526315789475,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FRZB,226,226,68,83,1.0,0.336283185840708,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FSTL3,341,341,88,98,1.0,0.2903225806451613,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
FTH1,23,23,9,10,1.0,0.30434782608695654,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GAA,330,330,96,107,1.0,0.3090909090909091,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GAS5,307,307,88,105,1.0,0.30618892508143325,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GPATCH4,218,218,65,82,1.0,0.3165137614678899,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GPI,39,39,11,21,1.0,0.20512820512820512,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GPNMB,286,286,80,95,1.0,0.3181818181818182,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GRN,272,272,78,92,1.0,0.31985294117647056,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GSEC,164,164,4,4,1.0,0.006097560975609756,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
GSN,316,316,72,82,1.0,0.22784810126582278,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HASPIN,161,161,51,58,1.0,0.33540372670807456,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-A,335,335,76,88,1.0,0.25671641791044775,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-B,190,190,51,71,1.0,0.2789473684210526,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-C,212,212,52,57,1.0,0.2830188679245283,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-DRB5,360,360,90,108,1.0,0.28888888888888886,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-E,258,258,76,94,1.0,0.31007751937984496,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-F,305,305,85,95,1.0,0.3114754098360656,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HLA-H,294,294,62,73,1.0,0.23129251700680273,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HNRNPA1,239,239,71,82,1.0,0.30962343096234307,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HNRNPC,55,55,10,12,1.0,0.12727272727272726,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
HSPA1A,229,229,54,66,1.0,0.26200873362445415,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
IDH2,355,355,84,77,1.0,0.27887323943661974,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
IDI2-AS1,276,276,61,71,1.0,0.23550724637681159,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
IFNGR1,414,414,111,111,1.0,0.30676328502415456,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
IFNGR2,603,603,156,164,1.0,0.27860696517412936,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ILF2,45,45,17,24,1.0,0.37777777777777777,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
