estimand,source_environment_id,left_target_environment_id,right_target_environment_id,metric,n_common_perturbations,strict_inversion_rate,normalized_rank_displacement_mean,normalized_rank_displacement_ci_low,normalized_rank_displacement_ci_high,bootstrap_unit,fold_contract,prediction_contract,refit_per_metric
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,243,0.3179947624392069,0.22167806006189847,0.19933255110022785,0.24475606230656738,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,243,0.14687157721796276,0.1040199979593919,0.09065337720640751,0.11847451790633608,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,243,0.3177566914940652,0.2196714620957045,0.19689912593953,0.2423256130326837,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,243,0.25895316804407714,0.1820902628983437,0.16394075434479477,0.2012898343706425,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.12031078860898138,0.08317178519198723,0.07085799068122299,0.09686979219807504,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.27473387069346666,0.1907628473285039,0.17135921504608373,0.2116119103492841,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,243,0.30935618814406696,0.21705268169914632,0.1953185049144645,0.23931316532326638,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.09766199979461199,0.07295173961840629,0.06427873006155835,0.08216848620889024,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.2849709213345577,0.20065979661939257,0.18089905791925995,0.22037037037037033,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,243,0.30782573206815633,0.21552222562323572,0.19511401897765537,0.23844633200693804,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,243,0.14723296485163764,0.10242152161344081,0.089301686902697,0.11702908716797605,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,243,0.2487161174029861,0.17317960752304187,0.15615753494541373,0.19074796789443255,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,243,0.23147297894772642,0.1595415433799272,0.14207478828690953,0.17812893242186173,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.12280941949616649,0.08628371254633882,0.07386129816685373,0.0996618117198925,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.23415977961432508,0.16498316498316498,0.14841937897493454,0.1820902628983437,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,243,0.2608917457402306,0.17862122912627965,0.16021239329320133,0.19809415705880354,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.10261851788464829,0.07538346427235317,0.06666772948338608,0.08478577866204125,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.24868210726796586,0.17746488453559162,0.16148012107608067,0.1946076930925416,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,243,0.3247967894432541,0.228820188416148,0.20659414005373603,0.2497568275346053,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,243,0.14529095822927715,0.10169030371050573,0.0884939461959664,0.11592567084991327,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,243,0.2217120701969187,0.1580450974390368,0.14270610141822263,0.17340109852736113,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,243,0.25187905995986803,0.1750841750841751,0.15627189402441927,0.195104241063837,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.10842260173174989,0.07716899636091555,0.0653923494201272,0.08974488147467945,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.21902526953032003,0.1538618508315478,0.1361591504268272,0.17097022412678978,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,243,0.29595619494609393,0.203312587150971,0.18207325783083356,0.22516494915484814,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,243,0.09965082842667397,0.07320681563105805,0.06465220385674932,0.0821453168044077,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
source_frozen_primary,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,243,0.235588205285175,0.16977859402101822,0.15260220045573583,0.1868346767336666,matched perturbation label,one global 5-fold assignment shared by all source contexts,one source-context fitted predictor scored unchanged against both target outcomes,0
