target,actual,predicted,count,feature_block_name
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_coculture,293,U+P+S+N
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_control,16,U+P+S+N
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_ifng,89,U+P+S+N
environment_key,frangieh_melanoma_coculture,norman_k562,0,U+P+S+N
environment_key,frangieh_melanoma_coculture,replogle_rpe1,14,U+P+S+N
environment_key,frangieh_melanoma_coculture,tian_neuron_crispra,4,U+P+S+N
environment_key,frangieh_melanoma_coculture,tian_neuron_crispri,14,U+P+S+N
environment_key,frangieh_melanoma_coculture,xu_he293,20,U+P+S+N
environment_key,frangieh_melanoma_control,frangieh_melanoma_coculture,61,U+P+S+N
environment_key,frangieh_melanoma_control,frangieh_melanoma_control,319,U+P+S+N
environment_key,frangieh_melanoma_control,frangieh_melanoma_ifng,43,U+P+S+N
environment_key,frangieh_melanoma_control,norman_k562,0,U+P+S+N
environment_key,frangieh_melanoma_control,replogle_rpe1,24,U+P+S+N
environment_key,frangieh_melanoma_control,tian_neuron_crispra,2,U+P+S+N
environment_key,frangieh_melanoma_control,tian_neuron_crispri,0,U+P+S+N
environment_key,frangieh_melanoma_control,xu_he293,1,U+P+S+N
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_coculture,85,U+P+S+N
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_control,58,U+P+S+N
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_ifng,245,U+P+S+N
environment_key,frangieh_melanoma_ifng,norman_k562,3,U+P+S+N
environment_key,frangieh_melanoma_ifng,replogle_rpe1,33,U+P+S+N
environment_key,frangieh_melanoma_ifng,tian_neuron_crispra,6,U+P+S+N
environment_key,frangieh_melanoma_ifng,tian_neuron_crispri,2,U+P+S+N
environment_key,frangieh_melanoma_ifng,xu_he293,18,U+P+S+N
environment_key,norman_k562,frangieh_melanoma_coculture,0,U+P+S+N
environment_key,norman_k562,frangieh_melanoma_control,0,U+P+S+N
environment_key,norman_k562,frangieh_melanoma_ifng,2,U+P+S+N
environment_key,norman_k562,norman_k562,412,U+P+S+N
environment_key,norman_k562,replogle_rpe1,13,U+P+S+N
environment_key,norman_k562,tian_neuron_crispra,2,U+P+S+N
environment_key,norman_k562,tian_neuron_crispri,0,U+P+S+N
environment_key,norman_k562,xu_he293,3,U+P+S+N
environment_key,replogle_rpe1,frangieh_melanoma_coculture,8,U+P+S+N
environment_key,replogle_rpe1,frangieh_melanoma_control,25,U+P+S+N
