environment_key,predictor,split,n_rows,evaluation_gene_count,refit_per_metric,delta_cosine,centered_delta_cosine,environment_centroid_cosine,absolute_effect_rank_agreement
frangieh_melanoma_coculture,mean_matching,test,50,8229,0,0.24566602630186163,0.2329626246765077,0.7970094360432837,0.32192765599135087
frangieh_melanoma_coculture,slim_string,test,50,8229,0,0.055587120857475664,0.04989509148739893,0.5394948406627995,0.25531187696219254
frangieh_melanoma_coculture,strong_linear,test,50,8229,0,0.15133312812068264,0.1367561814767615,0.638391656693753,0.2746500900177852
frangieh_melanoma_control,mean_matching,test,50,8229,0,0.29246515164172193,0.2949874882430374,0.8483431455317424,0.3021565776323489
frangieh_melanoma_control,slim_string,test,50,8229,0,0.16190288393400507,0.1626427247400996,0.7320927022882896,0.24560496029514553
frangieh_melanoma_control,strong_linear,test,50,8229,0,0.24361215349479792,0.2461120558206295,0.8003140062451487,0.27310561254279914
frangieh_melanoma_ifng,mean_matching,test,50,8229,0,0.35828927436777586,0.33188398696849264,0.894972132513026,0.3693535267311219
frangieh_melanoma_ifng,slim_string,test,50,8229,0,0.14545550256803907,0.12861629072271671,0.6692463922849706,0.2682942528456509
frangieh_melanoma_ifng,strong_linear,test,50,8229,0,0.2730824222095003,0.24619368584558152,0.8153492974079061,0.3044708715105033
norman_k562,mean_matching,test,48,8229,0,0.702242759472707,0.698288333562621,0.9877026467296711,0.6608080408050153
norman_k562,slim_string,test,48,8229,0,0.5977675603345008,0.591360418498499,0.984216312836302,0.6065988531043067
norman_k562,strong_linear,test,48,8229,0,0.5519336995813512,0.5441419558790552,0.9795839145687482,0.6362722265890433
replogle_rpe1,mean_matching,test,33,8229,0,0.17533825870954797,0.17680479325955598,0.582709362407195,0.21378241226657818
replogle_rpe1,slim_string,test,33,8229,0,0.09240419062953019,0.09252417195301121,0.615874265287676,0.1726414758730658
replogle_rpe1,strong_linear,test,33,8229,0,0.15369727644272488,0.14928608097740717,0.7401414308927547,0.1842441351845172
tian_neuron_crispra,mean_matching,test,20,8229,0,0.4590880011644911,0.45764963022191496,0.843524244008817,0.39353162190501745
tian_neuron_crispra,slim_string,test,20,8229,0,0.3581946312529554,0.3595441187352611,0.895395659983088,0.35495617757970843
tian_neuron_crispra,strong_linear,test,20,8229,0,0.4464541646978827,0.4460863342332275,0.9041391422506966,0.3865032631236177
tian_neuron_crispri,mean_matching,test,38,8229,0,0.5046834218722246,0.5063601886694712,0.946563750227201,0.39178008541316955
tian_neuron_crispri,slim_string,test,38,8229,0,0.3757861184581535,0.3781324180640972,0.9308550646801272,0.32662877616905067
tian_neuron_crispri,strong_linear,test,38,8229,0,0.48236543672591203,0.48453314069646547,0.9450408486993648,0.3788472653456439
xu_he293,mean_matching,test,38,8229,0,0.35129046230314637,0.3446052662693487,0.843098597211981,0.31966047304329787
xu_he293,slim_string,test,38,8229,0,0.18468964747894703,0.17868463621622074,0.7589475787235804,0.2836431389946807
xu_he293,strong_linear,test,38,8229,0,0.292095431659056,0.284615979024076,0.8414157155344102,0.3059458425959225
