predictor_id,predictor_family,environment_id,environment_key,status,reason,split_id,split_seed,model_seeds,scientific_result_claimed
cpa,latent_compositional,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
cpa,latent_compositional,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,unsupported,missing_optional_dependency:cpa,ptl_biological_instance_split_v1,20260907,"0,1,2",False
mean_matching,simple_baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
mean_matching,simple_baseline,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
official_gears,graph_neural_network,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
official_gears,graph_neural_network,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,pending,formal_raw_adata_adapter_not_yet_executed,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
prescribe,uncertainty_aware_predictor,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,unsupported,optional_predictor_not_installed_compatible_overlap_only,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
scgpt,foundation_style,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,unsupported,missing_optional_dependency:scgpt,ptl_biological_instance_split_v1,20260907,"0,1,2",False
strong_linear,linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
strong_linear,linear,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,success,formal_v2_predictor_metrics_available,ptl_biological_instance_split_v1,20260907,"0,1,2",True
