dataset_id,perturbation_label,split_half_cosine,left_signature_groups,right_signature_groups,left_cells,right_cells,gene_count,split_seed,reproducibility_unit,raw_cell_expression_split
NormanWeissman2019_filtered,AHR,0.8176059643536121,8,8,277,280,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,AHR_FEV,0.9123684060763966,8,8,133,140,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,AHR_KLF1,0.8583208109478975,8,8,238,242,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ARID1A,0.8468624174198726,7,8,104,119,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ARRDC3,0.5933210323138663,8,8,245,250,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ATL1,0.8883380386344115,8,8,187,192,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BAK1,0.5016362588858869,8,8,727,730,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BCL2L11,0.06122780846412067,8,8,288,293,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BCL2L11_BAK1,0.06724462313200703,5,6,61,73,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BCL2L11_TGFBR2,0.3815029568678119,8,8,229,233,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BCORL1,0.5379015970363581,8,8,265,268,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BPGM,0.7881783888732553,8,8,230,233,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BPGM_SAMD1,0.8586233357815993,8,8,149,152,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,BPGM_ZBTB1,0.8541372545452541,8,8,177,181,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,C19orf26,0.7189040716579346,8,8,434,438,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,C3orf72,0.7624616949334319,8,8,130,133,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBFA2T3,0.7909333977431925,8,8,327,330,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL,0.7855593710041497,8,8,328,334,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL_CNN1,0.9304035427608064,8,8,172,176,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL_PTPN12,0.8824735038934608,8,8,164,170,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL_PTPN9,0.8704214577922231,8,8,151,154,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL_TGFBR2,0.6465686060521071,5,6,67,82,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CBL_UBASH3B,0.9337779587887565,8,8,202,206,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CDKN1A,0.8452892684117976,8,8,177,183,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CDKN1B,0.8571773802354347,8,8,272,277,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CDKN1B_CDKN1A,0.5467440786242539,2,3,23,34,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CDKN1C,0.8038546060358244,8,8,113,116,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CDKN1C_CDKN1A,0.5055147104411357,1,2,10,21,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPA,0.9604456167316304,8,8,217,222,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPB,0.9225249215290864,8,8,242,244,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPB_MAPK1,0.9095082282869844,8,8,204,206,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPB_OSR2,0.8530824397362602,6,6,87,91,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPB_PTPN12,0.8208329014279473,8,8,163,166,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE,0.9725864527303826,8,8,612,616,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_CEBPA,0.8902718871040993,6,7,68,80,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_CEBPB,0.6203956434197214,1,2,11,21,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_CNN1,0.7632737648681971,8,8,116,121,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_KLF1,0.778735183108049,8,8,232,236,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_PTPN12,0.8096246026701077,8,8,204,211,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_RUNX1T1,0.928960734931577,8,8,606,611,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CEBPE_SPI1,0.9102034970441187,6,6,73,75,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CELF2,0.6399204794546152,8,8,236,239,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CITED1,0.7628329811744216,8,8,104,111,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CKS1B,0.7808362795713313,8,8,118,123,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CLDN6,0.9279938649418324,8,8,333,337,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CNN1,0.8748618138161345,8,8,379,386,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CNN1_MAPK1,0.814207585014401,8,8,196,201,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CNN1_UBASH3A,0.8670372568604731,6,7,71,84,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CNNM4,0.7019344141033835,8,8,232,236,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,COL1A1,0.8982675443939461,8,8,162,165,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,COL2A1,0.9199648355646297,8,8,297,301,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,CSRNP1,0.5273571113826724,8,8,235,242,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DLX2,0.858152844610544,8,8,364,367,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9,0.9238049286071687,8,8,364,366,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_ETS2,0.9010796067214909,8,8,391,396,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_IGDCC3,0.9075274844706808,8,8,188,194,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_KLF1,0.9114777963818457,8,8,182,184,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_MAPK1,0.6139263804547576,8,8,144,146,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_PRTG,0.8976849853615807,8,8,147,150,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,DUSP9_SNAI1,0.8954071600207051,7,7,80,84,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,EGR1,0.6119984287542913,8,8,159,162,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ELMSAN1,0.729067126626218,8,8,466,469,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2,0.8900443908132122,8,8,598,603,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_CEBPE,0.8915406254734243,8,8,176,178,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_CNN1,0.8656131488516386,8,8,450,455,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_IGDCC3,0.7899410451307562,8,8,219,222,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_IKZF3,0.9393310645645467,8,8,221,223,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_MAP7D1,0.8390992489833203,8,8,160,164,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_MAPK1,0.9370132206813767,8,8,227,231,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ETS2_PRTG,0.814628925768023,8,8,221,224,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FEV,0.9170558809082,8,8,349,355,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FEV_CBFA2T3,0.8266290852243221,4,5,45,56,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FEV_ISL2,0.8936735683762127,8,8,139,145,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FEV_MAP7D1,0.8723301202754576,8,8,137,139,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB,0.7884026471692299,8,8,314,316,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB_CEBPE,0.7949876294257958,3,3,39,40,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB_IKZF3,0.8348506606623255,7,8,114,124,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB_OSR2,0.9030177505797088,8,8,189,193,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB_PTPN12,0.6810131717173936,8,8,169,173,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOSB_UBASH3B,0.6861094359236297,8,8,211,214,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA1,0.8019881095661286,8,8,424,427,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA1_FOXF1,0.8351307833594389,8,8,134,138,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA1_FOXL2,0.7551012077165697,6,6,79,81,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA1_HOXB9,0.8809735599626803,8,8,145,148,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA3,0.8062864739396042,8,8,244,248,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA3_FOXA1,0.8480871308534393,8,8,106,110,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA3_FOXF1,0.6646060484624301,6,6,69,72,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA3_FOXL2,0.49800035324635905,2,2,22,22,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXA3_HOXB9,0.911029897965225,8,8,161,166,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXF1,0.6748884306862626,8,8,434,439,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXF1_FOXL2,0.8192297764494909,6,6,76,79,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXF1_HOXB9,0.806809965934389,6,7,80,94,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXL2,0.8607807504394763,8,8,325,325,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXL2_MEIS1,0.7550617651737146,7,7,86,88,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,FOXO4,0.8044769977440418,7,7,97,102,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,GLB1L2,0.717783173717365,8,8,229,234,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HES7,0.5942556205328476,2,2,21,22,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HK2,0.46099748225071024,8,8,150,152,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HNF4A,0.8458066831485372,8,8,117,120,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HOXA13,0.8921971963760414,8,8,135,137,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HOXB9,0.8520474576362503,8,8,347,352,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,HOXC13,0.8914172620407578,8,8,190,194,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IER5L,0.8436719874847175,8,8,201,203,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IGDCC3,0.879351088532491,8,8,305,308,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IGDCC3_MAPK1,0.7429645780060096,8,8,181,184,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IGDCC3_PRTG,0.6001683320388137,3,4,33,45,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IGDCC3_ZBTB25,0.7580690472676863,4,4,45,46,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IKZF3,0.9607576596989109,8,8,338,342,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IRF1,0.8949539947166687,8,8,211,216,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,IRF1_SET,0.9486864846554092,8,8,219,224,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,ISL2,0.44342360570757366,8,8,288,294,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,JUN,0.7781902753567613,8,8,132,134,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,KIAA1804,0.4565409527750547,8,8,136,141,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,KIF18B,0.38370767471543094,8,8,125,129,33694,20260907,raw_cells_within_reference_perturbation_strata,1
NormanWeissman2019_filtered,KIF2C,0.447256629146612,8,8,314,320,33694,20260907,raw_cells_within_reference_perturbation_strata,1
