environment_id,environment_key,dataset_id,perturbation_label,n_reference_groups,left_reference_groups,right_reference_groups,split_half_cosine,gene_count,split_seed,reproducibility_unit,used_in_ptl_features,raw_cell_expression_split
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,AHR,8,4,4,0.8182553133607933,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,AHR_FEV,8,4,4,0.9147651048559229,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,AHR_KLF1,8,4,4,0.8567121517096556,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,ARID1A,8,4,4,0.8574544042853612,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,ARRDC3,8,4,4,0.5808732051875684,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,ATL1,8,4,4,0.875667303931674,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BAK1,8,4,4,0.47789035891465187,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BCL2L11,8,4,4,0.06796409369657243,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BCL2L11_BAK1,8,4,4,0.09291248048507472,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BCL2L11_TGFBR2,8,4,4,0.3736196809798813,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BCORL1,8,4,4,0.5345213445344308,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BPGM,8,4,4,0.7929570488133495,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BPGM_SAMD1,8,4,4,0.8655397617439979,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,BPGM_ZBTB1,8,4,4,0.8489497030412207,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,C19orf26,8,4,4,0.6830722095310924,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,C3orf72,8,4,4,0.7598247730227041,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBFA2T3,8,4,4,0.7756238509416583,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL,8,4,4,0.7827509494170283,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_CNN1,8,4,4,0.9266035239607613,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_PTPN12,8,4,4,0.8813130558699314,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_PTPN9,8,4,4,0.8680132983584429,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_TGFBR2,8,4,4,0.6785299259337323,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_UBASH3A,4,2,2,0.34160834160236375,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CBL_UBASH3B,8,4,4,0.9294857161805722,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1A,8,4,4,0.852293142102584,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1B,8,4,4,0.8549415345536167,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1B_CDKN1A,7,3,4,0.773097584697848,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1C,8,4,4,0.8059915048448131,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1C_CDKN1A,7,3,4,0.7362992535827786,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CDKN1C_CDKN1B,6,3,3,0.7365625348590681,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CEBPA,8,4,4,0.9632877034890014,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CEBPB,8,4,4,0.9223511163037731,33695,20260907,independent_reference_groups,0,0
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,CEBPB_CEBPA,2,1,1,0.442323360067208,33695,20260907,independent_reference_groups,0,0
