dataset_id,predictor,method,n,spearman_reproducibility_risk,spearman_reproducibility_confidence
NormanWeissman2019_filtered,mean_matching,ptl_rf,47,-0.6295097132284921,0.4331717531513006
NormanWeissman2019_filtered,mean_matching,raw_normalized_uq,47,-0.6295097132284921,-0.23044733034774664
NormanWeissman2019_filtered,mean_matching,u_only_rf,47,-0.6295097132284921,-0.179533466852829
NormanWeissman2019_filtered,slim_string,ptl_rf,47,-0.6076549491211841,0.5055504162812211
NormanWeissman2019_filtered,slim_string,raw_normalized_uq,47,-0.6076549491211841,0.39119749817547655
NormanWeissman2019_filtered,slim_string,u_only_rf,47,-0.6076549491211841,0.23381128584643845
NormanWeissman2019_filtered,strong_linear,ptl_rf,47,-0.5346901017576319,0.34447271045328404
NormanWeissman2019_filtered,strong_linear,raw_normalized_uq,47,-0.5346901017576319,-0.05424787688490229
NormanWeissman2019_filtered,strong_linear,u_only_rf,47,-0.5346901017576319,0.13309435707678077
ReplogleWeissman2022_rpe1,mean_matching,ptl_rf,4,0.7999999999999999,
ReplogleWeissman2022_rpe1,mean_matching,raw_normalized_uq,4,0.7999999999999999,
ReplogleWeissman2022_rpe1,mean_matching,u_only_rf,4,0.7999999999999999,
ReplogleWeissman2022_rpe1,slim_string,ptl_rf,4,-0.39999999999999997,0.7999999999999999
ReplogleWeissman2022_rpe1,slim_string,raw_normalized_uq,4,-0.39999999999999997,0.39999999999999997
ReplogleWeissman2022_rpe1,slim_string,u_only_rf,4,-0.39999999999999997,1.0
ReplogleWeissman2022_rpe1,strong_linear,ptl_rf,4,0.7999999999999999,0.19999999999999998
ReplogleWeissman2022_rpe1,strong_linear,raw_normalized_uq,4,0.7999999999999999,0.39999999999999997
ReplogleWeissman2022_rpe1,strong_linear,u_only_rf,4,0.7999999999999999,0.39999999999999997
