target_environment_id,selected_source_environment_id,selected_predicted_gain,selected_positive_transfer_probability,realized_gain_vs_target_excluded_u_only,oracle_gain,selection_regret,fallback_to_u_only,selected_source_positive,selected_source_negative_transfer,accepted_pair_count,accepted_pair_negative_transfer_count,split_seed
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.022199340714700973,0.6651392144822525,0.0116990452853789,0.0579596387070657,0.0462605934216868,0,1,0,3,0,20260907
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.02223742210076859,0.6647462659475423,-0.0086303269625743,0.0284381915925354,0.0284381915925354,0,0,1,3,1,20260917
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.021442677061640197,0.8979408810148193,-0.0076545767651815,0.002097254248044,0.002097254248044,0,0,1,3,2,20260927
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.0256990558300618,0.6815361356571114,0.0321798227151433,0.0459734131429867,0.013793590427843394,0,1,0,3,0,20261007
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.021613635868401104,0.8983557298229126,0.0148825751949358,0.0171559741410222,0.002273398946086398,0,1,0,3,0,20261017
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.026391232054303517,0.7015225335470228,-0.014926130539845,-0.0102511040353214,0.0,0,0,1,7,7,20260907
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.02666486816506552,0.7022037390648266,0.0004320951764514,0.0130514321939089,0.012619337017457499,0,1,0,7,3,20260917
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.022743558265312516,0.897909336434826,0.0232982611961338,0.0236919062914504,0.00039364509531659986,0,1,0,7,2,20260927
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.028465928995411626,0.7104463371906831,0.0324238120003714,0.0324238120003714,0.0,0,1,0,4,0,20261007
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.02330740503208535,0.8993229647551618,0.0198457740916767,0.0198457740916767,0.0,0,1,0,7,3,20261017
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.023039358658999136,0.6726523654816037,-0.011845562504769,0.0269439265629095,0.0269439265629095,0,0,1,3,1,20260907
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.024575792385742805,0.6796357485349993,-0.0218538436068977,0.020685993366684,0.020685993366684,0,0,1,3,1,20260917
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.016227695496994328,0.8020529296867148,0.0521598478409396,0.0522525633250138,9.271548407420449e-05,0,1,0,3,0,20260927
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.02490969939675189,0.6825330456609613,0.0258435692336315,0.0377917836131098,0.011948214379478302,0,1,0,3,0,20261007
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.017921889503572565,0.6454389950212088,0.0325326083682593,0.033275339964751,0.0007427315964916997,0,1,0,3,0,20261017
