target_environment_id,split_seed,candidate_pair_count,spearman_predicted_realized_gain,kendall_source_rank_concordance,selected_source_rank,oracle_regret,selected_source_positive,candidate_positive_source_fraction,within_target_positive_negative_auroc,selected_source
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,20260907,7,-0.25,-0.23809523809523814,1.0,0.0462605934216868,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,20260917,7,-0.5714285714285715,-0.5238095238095238,1.0,0.0284381915925354,0.0,0.7142857142857143,0.4,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,20260927,7,0.5,0.33333333333333337,1.0,0.002097254248044,0.0,0.14285714285714285,0.8333333333333334,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,20261007,7,0.6071428571428572,0.5238095238095238,1.0,0.013793590427843394,1.0,0.7142857142857143,0.9,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,20261017,7,0.0,0.04761904761904762,1.0,0.002273398946086398,1.0,0.8571428571428571,0.5,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,20260907,7,0.21428571428571433,0.14285714285714288,1.0,0.0,0.0,0.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,20260917,7,-0.21428571428571433,-0.14285714285714288,1.0,0.012619337017457499,1.0,0.5714285714285714,0.5,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,20260927,7,0.42857142857142866,0.23809523809523814,1.0,0.00039364509531659986,1.0,0.7142857142857143,0.6000000000000001,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,20261007,7,0.7857142857142859,0.7142857142857143,1.0,0.0,1.0,0.7142857142857143,0.9,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,20261017,7,0.28571428571428575,0.23809523809523814,1.0,0.0,1.0,0.5714285714285714,0.5833333333333333,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,20260907,7,-0.21428571428571433,-0.14285714285714288,1.0,0.0269439265629095,0.0,0.7142857142857143,0.2,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,20260917,7,-0.25,-0.23809523809523814,1.0,0.020685993366684,0.0,0.8571428571428571,0.0,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,20260927,7,0.28571428571428575,0.04761904761904762,1.0,9.271548407420449e-05,1.0,1.0,,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,20261007,7,0.6071428571428572,0.5238095238095238,1.0,0.011948214379478302,1.0,0.7142857142857143,1.0,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,20261017,7,0.28571428571428575,0.04761904761904762,1.0,0.0007427315964916997,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,20260907,7,-0.39285714285714296,-0.23809523809523814,1.0,0.0405569606464659,0.0,0.5714285714285714,0.25,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,20260917,7,-0.4642857142857144,-0.33333333333333337,1.0,0.018874890336921,0.0,0.42857142857142855,0.3333333333333333,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,20260927,7,-0.7500000000000002,-0.6190476190476191,1.0,0.0002979957455652,0.0,0.14285714285714285,0.0,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,20261007,7,0.8928571428571429,0.8095238095238096,,0.0274783665939507,0.0,0.14285714285714285,1.0,u_only_fallback
env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,20261017,7,-0.39285714285714296,-0.23809523809523814,1.0,0.0065541332966116,0.0,0.5714285714285714,0.25,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20260907,7,0.28571428571428575,0.23809523809523814,,0.0414044384723536,0.0,1.0,,u_only_fallback
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20260917,7,-0.10714285714285716,-0.14285714285714288,,0.0798846549455567,0.0,1.0,,u_only_fallback
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20260927,7,-0.10714285714285716,-0.14285714285714288,1.0,0.0,0.0,0.0,,env__v~xucao2023__v~hek293__v~rna__v~baseline
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20261007,7,0.6071428571428572,0.5238095238095238,,0.0200067810470694,0.0,0.7142857142857143,1.0,u_only_fallback
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20261017,7,-0.9285714285714288,-0.8095238095238096,1.0,0.005732777225081899,1.0,1.0,,env__v~xucao2023__v~hek293__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260907,7,0.39285714285714296,0.33333333333333337,1.0,0.008310981472382403,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260917,7,-0.642857142857143,-0.6190476190476191,1.0,0.0209006141727218,1.0,0.8571428571428571,0.16666666666666666,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260927,7,-0.9285714285714288,-0.8095238095238096,2.0,0.0231744979169191,0.0,0.5714285714285714,0.0,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20261007,7,0.3571428571428572,0.33333333333333337,1.0,0.0,1.0,0.5714285714285714,0.5833333333333334,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
