comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,AKT2,0.24224316495760392,0.25489813216260854,-0.12140422470617239,-0.11013274036806395,0.12908122266065827,0.11642625545565365,0.879339250380278,0.012654967205004614,3,4,11718,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,CNIH4,0.20002939719326152,0.2982168374388461,-0.16026008707173356,-0.072905314308525,0.17381612569257388,0.07562868544698935,0.905346883704088,0.09818744024558457,3,4,11850,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,COTL1,0.16929373877970916,0.2329486351642207,-0.10809751102997772,-0.04926765609642611,0.11415638262614308,0.050501486241631574,0.9576641335551993,0.06365489638451155,3,3,13265,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,CTBP1,0.1916956427378214,0.2631055296868661,-0.11878754350193232,-0.053276041986307594,0.12613063909909394,0.05472075215004925,0.9442018518378479,0.07140988694904474,4,4,12997,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,DCAF13,0.4538291431150632,0.49449764279969805,-0.12175283513030302,-0.0850820513570249,0.1294749007607257,0.08880640107609082,0.8960455510245485,0.04066849968463482,2,4,10780,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,EPB41L2,0.1395938259699493,0.1984872523547535,-0.10411360385038192,-0.04958326917399405,0.10972651696007772,0.05083309057527349,0.93343268459607,0.058893426384804215,4,4,13340,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,ETHE1,0.13873507425777212,0.20082662760779946,-0.10566908393964988,-0.0481828029151839,0.11145401765990325,0.04936246430987594,0.9372509134178031,0.062091553350027334,4,4,12944,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,GNG5,0.1351894293849898,0.19906782260842648,-0.10469623021083793,-0.04544635896945196,0.11037326126860204,0.046494868045165345,0.9683272211313783,0.06387839322343669,4,4,13451,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,IFT25,0.1559793442061039,0.22261191995193705,-0.12579824078553697,-0.0652452373637657,0.13405333948870793,0.06742076374287476,0.9249436643679019,0.06663257574583314,4,4,12487,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,MGAT4B,0.1372447388317185,0.21597098592861802,-0.11896545954490191,-0.04650638359693272,0.1263310136306626,0.04760476653376308,0.9966569377634408,0.07872624709689952,4,4,13021,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,MOSMO,0.14809631982022484,0.27402637397932583,-0.14865591347988347,-0.0337670533919791,0.16027368598060418,0.03434363182150319,0.995692908738896,0.125930054159101,3,3,12488,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,MPG,0.13631423705198853,0.1979060258103703,-0.10653006605504035,-0.04957041493847109,0.11241137176442859,0.05081958300604684,0.9168286137406219,0.06159178875838178,4,4,12631,1,1,source_response_persistence_baseline
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,NAMPT,0.2386869948013242,0.34146953908154626,-0.14208821133249525,-0.04869090120790568,0.15267832334334447,0.04989577906312236,0.8832939081886954,0.10278254428022207,4,4,10937,1,1,source_response_persistence_baseline
