source_environment_id,target_environment_id,transfer_id,source_context_id,unordered_context_pair_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,n_labels,matched_universe_sha256,mean_risk_source,mean_risk_target,absolute_mean_risk_shift,risk_aggregation,risk_artifact,d_meas_id,d_meas_id_ci_low,d_meas_id_ci_high,normalized_regret,retention_point,regret_point
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.7245925932296723,0.751623819474382,0.02703122624470966,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0724429152330309,0.0681500886247523,0.0768516491154902,0.586376202474014,0.3044871794871795,0.0218496765011978
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.8647117214102069,0.8923139595211464,0.027602238110939536,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.1469137733291627,0.1431589510999895,0.1503828241754422,0.5976456980446242,0.3346153846153846,0.0866300942909176
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.3474630821658462,0.34815726366275396,0.0006941814969077531,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0729207937997428,0.0675680759740034,0.0781616880408716,0.2322541544782223,0.5051282051282052,0.0798245614035087
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,186,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,0.7243740012783437,0.7393114458834231,0.014937444605079397,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0669960282863508,0.0646010849559236,0.0694983531919015,0.4953475117073537,0.2921296296296296,0.0185847376103703
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,full,186,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,0.8655482607626901,0.8703806753296104,0.004832414566920296,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.134709871161484,0.1318657367044464,0.137682214472537,0.4976580250630852,0.3171296296296296,0.0755703450250398
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,full,186,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,0.38815317864553855,0.3889124693454065,0.0007592906998679649,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.050797733217088,0.0470278504310762,0.0545371742710452,0.2478886652099743,0.4537037037037036,0.0927509746588693
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.7255275103625667,0.7336726117877176,0.008145101425150902,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0846366385152747,0.0795825947937302,0.0893844924060751,0.7579642315527572,0.173076923076923,0.0353193150765738
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.7436282375379704,0.8920735464250702,0.14844530888709984,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.1636169325409238,0.1591505056824106,0.1676094776352831,0.8462934418838188,0.166025641025641,0.1355651153132379
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.34394799949514077,0.34671210400100966,0.0027641045058688918,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0699101588294581,0.0667848330031627,0.0729479025475271,0.3332774477503206,0.4423076923076923,0.1142375168690957
frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_control<->frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,139,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,0.725552115327713,0.7279145448252857,0.0023624294975727045,mean over perturbation labels after averaging the canonical full-depth measurement replicates,artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_risks.csv,0.0900688145136065,0.0857571334236958,0.0948114551836791,0.7575075137639615,0.1455128205128204,0.029758692883268
