family,reference_family,metric,rows_compared,spearman_D_adj_vs_reference,D_adj_point_sign_agreement,D_adj_CI_sign_agreement,mean_D_adj,mean_D_adj_difference_vs_reference
bilinear_ridge,bilinear_ridge,delta_cosine,6,1.0,1.0,1.0,0.11642127789750462,0.0
bilinear_ridge,bilinear_ridge,systema_centroid_accuracy,6,1.0,1.0,1.0,0.03594190310089302,0.0
bilinear_ridge,bilinear_ridge,absolute_effect_rank_agreement,6,1.0,1.0,1.0,0.06537950366540014,0.0
official_gears,bilinear_ridge,delta_cosine,6,-0.08571428571428573,1.0,1.0,0.1270757428456584,0.010654464948153782
official_gears,bilinear_ridge,systema_centroid_accuracy,6,1.0,1.0,1.0,0.1253322446963224,0.08939034159542937
official_gears,bilinear_ridge,absolute_effect_rank_agreement,6,0.2,1.0,1.0,0.10508801260095439,0.03970850893555425
rbf_krr,bilinear_ridge,delta_cosine,6,0.8857142857142858,1.0,1.0,0.11496462903510314,-0.0014566488624014838
rbf_krr,bilinear_ridge,systema_centroid_accuracy,6,1.0,1.0,1.0,0.035669780412728135,-0.00027212268816488236
rbf_krr,bilinear_ridge,absolute_effect_rank_agreement,6,0.8285714285714287,1.0,1.0,0.07194182370082253,0.006562320035422384
source_only_latent_mlp,bilinear_ridge,delta_cosine,6,0.8857142857142858,1.0,1.0,0.12920228036621786,0.012781002468713247
source_only_latent_mlp,bilinear_ridge,systema_centroid_accuracy,6,1.0,1.0,1.0,0.03557973625331712,-0.00036216684757590066
source_only_latent_mlp,bilinear_ridge,absolute_effect_rank_agreement,6,0.7714285714285715,1.0,1.0,0.11333396060055521,0.04795445693515507
source_only_mlp,bilinear_ridge,delta_cosine,6,0.942857142857143,1.0,1.0,0.1294807306314059,0.013059452733901264
source_only_mlp,bilinear_ridge,systema_centroid_accuracy,6,1.0,1.0,1.0,0.035656670170161046,-0.00028523293073196704
source_only_mlp,bilinear_ridge,absolute_effect_rank_agreement,6,0.5428571428571429,1.0,1.0,0.11123064491017098,0.045851141244770834
