source_environment_id,target_environment_id,left_target_environment_id,right_target_environment_id,metric,perturbation_label,cell_budget_label,reordering_burden,cross_burden,within_burden_left,within_burden_right,response_displacement,effect_magnitude,normalized_risk_rank_displacement,model_disagreement,source_uncertainty,prediction_norm,prediction_sparsity,prediction_concentration,uq_effect_norm_variance,target_informed_explanatory,source_only_features,response_displacement_definition,effect_magnitude_definition,model_disagreement_definition,source_uncertainty_definition,n_measurement_seeds,provenance,status
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,A2M,full,0.08596491228070176,0.20614035087719296,0.2175438596491227,0.02280701754385964,0.8014752264634895,,0.5206611570247934,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,ACSL3,full,0.012280701754385958,0.14649122807017537,0.08421052631578944,0.18421052631578944,0.94922892515895,,0.0289256198347107,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,ACTA2,full,0.025438596491228063,0.13508771929824556,0.07192982456140347,0.14736842105263154,0.6897962255389771,0.091886870581599,0.0867768595041322,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,AEBP1,full,0.006140350877192988,0.3280701754385964,0.33508771929824555,0.3087719298245614,0.8052175864243839,,0.1198347107438016,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,AGA,full,0.07368421052631577,0.25000000000000006,0.19999999999999998,0.15263157894736837,0.9715147690587952,0.084172321009109,0.0743801652892562,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,AHNAK,full,0.0017543859649122803,0.2657894736842105,0.24210526315789468,0.2859649122807017,1.004080204395619,0.0408351793033434,0.3264462809917355,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,APOC2,full,0.007894736842105262,0.19298245614035084,0.20350877192982458,0.1666666666666666,0.8571419349655237,,0.024793388429752,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,APOD,full,0.020175438596491225,0.2517543859649123,0.2684210526315789,0.19473684210526318,0.8736869333976026,,0.6074380165289256,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,APOE,full,0.05614035087719298,0.32543859649122814,0.3192982456140351,0.21929824561403505,0.8622135721550435,,0.1735537190082644,0.2902208201892744,0.9242902208201892,0.6105071306228638,0.0,0.0476374161940437,0.5457413249211356,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,ARMC6,full,0.09561403508771928,0.3543859649122807,0.2719298245614035,0.24561403508771928,0.965409376384504,,0.012396694214876,,,,,,,1,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,1 minus cosine similarity between matched perturbation response vectors,absolute normalized change in matched response-vector norm,source-side uq_cosine_disagreement among frozen model members,source-side uq_mean_gene_variance among frozen model members,30,"{""burden"": ""artifacts/manifests/reliability_transport_measurement_depth_matched_fixed_items.csv"", ""effect_magnitude"": ""artifacts/manifests/formal_v2_reliability_reordering_perturbations.csv"", ""response_displacement"": ""artifacts/manifests/formal_v2_controlled_shift_oof_perturbations.csv"", ""roles"": ""response/effect are target-informed explanatory quantities; source features are prospective candidates and never include target outcomes"", ""source_features"": ""artifacts/source_data/formal_v2_reliability_predictions.csv""}",explicit_missing_explanatory_field
