source_environment_id,target_environment_id,metric,total,complete,missing,coverage_fraction
frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,139,9,130,0.06474820143884892
frangieh_melanoma_coculture,frangieh_melanoma_control,delta_cosine,139,9,130,0.06474820143884892
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,139,9,130,0.06474820143884892
frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,186,18,168,0.0967741935483871
frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,186,18,168,0.0967741935483871
frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,186,18,168,0.0967741935483871
frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,139,8,131,0.05755395683453238
frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,139,8,131,0.05755395683453238
frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,139,8,131,0.05755395683453238
frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,139,10,129,0.07194244604316546
frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,139,10,129,0.07194244604316546
frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,139,10,129,0.07194244604316546
frangieh_melanoma_ifng,frangieh_melanoma_coculture,absolute_effect_rank_agreement,186,17,169,0.0913978494623656
frangieh_melanoma_ifng,frangieh_melanoma_coculture,delta_cosine,186,17,169,0.0913978494623656
frangieh_melanoma_ifng,frangieh_melanoma_coculture,systema_centroid_accuracy,186,17,169,0.0913978494623656
frangieh_melanoma_ifng,frangieh_melanoma_control,absolute_effect_rank_agreement,139,11,128,0.07913669064748201
frangieh_melanoma_ifng,frangieh_melanoma_control,delta_cosine,139,11,128,0.07913669064748201
frangieh_melanoma_ifng,frangieh_melanoma_control,systema_centroid_accuracy,139,11,128,0.07913669064748201
