left_target_environment_id,right_target_environment_id,cell_budget,n_labels_all,n_labels_matched,coverage_fraction,matched_universe_sha256,matched_universe_policy,cell_budget_label,cell_budget_order
frangieh_melanoma_coculture,frangieh_melanoma_ifng,10,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,same perturbation labels pass the fixed budget in both target contexts; control must also pass,10,1
frangieh_melanoma_control,frangieh_melanoma_coculture,10,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,same perturbation labels pass the fixed budget in both target contexts; control must also pass,10,1
frangieh_melanoma_control,frangieh_melanoma_ifng,10,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,same perturbation labels pass the fixed budget in both target contexts; control must also pass,10,1
frangieh_melanoma_coculture,frangieh_melanoma_ifng,20,243,237,0.9753086419753086,5058b49704eff66318ba347435b01837659e27aa58dbd9df6d9d843f5a32cef6,same perturbation labels pass the fixed budget in both target contexts; control must also pass,20,2
frangieh_melanoma_control,frangieh_melanoma_coculture,20,243,234,0.9629629629629628,b953cdc4ecb8990dbf10edcd40f2389c10633943b489ddb0a874d9c32e1d4b9b,same perturbation labels pass the fixed budget in both target contexts; control must also pass,20,2
frangieh_melanoma_control,frangieh_melanoma_ifng,20,243,235,0.9670781893004116,ead05755a59a3ab994f0f86fc9e2a5eacf996b3e7d141996cf4bdbe785e1ef47,same perturbation labels pass the fixed budget in both target contexts; control must also pass,20,2
frangieh_melanoma_coculture,frangieh_melanoma_ifng,40,243,225,0.925925925925926,d48e869a0efe6bd1c18d8deeab78efff5d8c3647adb9b6e7f780657cab659cbf,same perturbation labels pass the fixed budget in both target contexts; control must also pass,40,3
frangieh_melanoma_control,frangieh_melanoma_coculture,40,243,223,0.9176954732510288,91328d8791124ca3a1a6974645e97097a998fe654da83299a1b29e0ff5e8a4b4,same perturbation labels pass the fixed budget in both target contexts; control must also pass,40,3
frangieh_melanoma_control,frangieh_melanoma_ifng,40,243,226,0.9300411522633744,bf140252fa009a0bacd8d0e8118b33bbcd5726200611ae1e08adf6f6cdd9cdb4,same perturbation labels pass the fixed budget in both target contexts; control must also pass,40,3
frangieh_melanoma_coculture,frangieh_melanoma_ifng,80,243,209,0.8600823045267489,13ce645f6b0fbd81581e61ae84bd8ff85a25f02962d3e2f6dd5f0a3742f08a32,same perturbation labels pass the fixed budget in both target contexts; control must also pass,80,4
frangieh_melanoma_control,frangieh_melanoma_coculture,80,243,207,0.8518518518518519,38b19244ec1117dbf63f9f1b481ec2972512ed95f29c318fd8d34305b08df812,same perturbation labels pass the fixed budget in both target contexts; control must also pass,80,4
frangieh_melanoma_control,frangieh_melanoma_ifng,80,243,208,0.8559670781893004,ba17de76269d51fbb0e124d728dd67902cb40b44542d1314a3f1d8e15a765ac4,same perturbation labels pass the fixed budget in both target contexts; control must also pass,80,4
frangieh_melanoma_coculture,frangieh_melanoma_ifng,160,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,same perturbation labels pass the fixed budget in both target contexts; control must also pass,160,5
frangieh_melanoma_control,frangieh_melanoma_coculture,160,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,same perturbation labels pass the fixed budget in both target contexts; control must also pass,160,5
frangieh_melanoma_control,frangieh_melanoma_ifng,160,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,same perturbation labels pass the fixed budget in both target contexts; control must also pass,160,5
frangieh_melanoma_coculture,frangieh_melanoma_ifng,1000000000,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,all labels with nonempty matched target strata; each label uses its own full matched cell count with replacement,full,6
frangieh_melanoma_control,frangieh_melanoma_coculture,1000000000,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,all labels with nonempty matched target strata; each label uses its own full matched cell count with replacement,full,6
frangieh_melanoma_control,frangieh_melanoma_ifng,1000000000,243,243,1.0,1db5ba864d1dad918f9f62312118236daba3e1e3cdf5470377fcd42cdff06487,all labels with nonempty matched target strata; each label uses its own full matched cell count with replacement,full,6
