left_target_environment_id,right_target_environment_id,cell_budget,n_labels_all,n_labels_matched,coverage_fraction,matched_universe_sha256,matched_universe_policy,cell_budget_label,cell_budget_order,universe_mode
frangieh_melanoma_coculture,frangieh_melanoma_ifng,10,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at 10 cells; control must pass,10,1,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,10,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 10 cells; control must pass,10,1,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,10,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 10 cells; control must pass,10,1,matched_fixed
frangieh_melanoma_coculture,frangieh_melanoma_ifng,20,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at 20 cells; control must pass,20,2,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,20,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 20 cells; control must pass,20,2,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,20,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 20 cells; control must pass,20,2,matched_fixed
frangieh_melanoma_coculture,frangieh_melanoma_ifng,40,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at 40 cells; control must pass,40,3,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,40,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 40 cells; control must pass,40,3,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,40,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 40 cells; control must pass,40,3,matched_fixed
frangieh_melanoma_coculture,frangieh_melanoma_ifng,80,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at 80 cells; control must pass,80,4,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,80,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 80 cells; control must pass,80,4,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,80,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 80 cells; control must pass,80,4,matched_fixed
frangieh_melanoma_coculture,frangieh_melanoma_ifng,160,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at 160 cells; control must pass,160,5,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,160,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 160 cells; control must pass,160,5,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,160,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at 160 cells; control must pass,160,5,matched_fixed
frangieh_melanoma_coculture,frangieh_melanoma_ifng,1000000000,243,186,0.7654320987654321,7fa10030c92be95c30c659cbc5f414616fba4877a38f9130a10ffc8564a1e7e7,fixed universe frozen at 160 cells and reused at full depth; per-label full matched cell count,full,6,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_coculture,1000000000,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at full depth; per-label full matched cell count,full,6,matched_fixed
frangieh_melanoma_control,frangieh_melanoma_ifng,1000000000,243,139,0.5720164609053497,b4703d678706ea621bc68aa4cdf89b221778abcee9eec1a94b857055e80e3c58,fixed universe frozen at 160 cells and reused at full depth; per-label full matched cell count,full,6,matched_fixed
