candidate_id,study,context_a,context_b,dataset_a,dataset_b,file_a_available,file_b_available,exact_shared_perturbation_count,raw_cells_a,raw_cells_b,control_cells_a,control_cells_b,median_min_cells_per_shared_perturbation,fraction_shared_ge20_cells,fraction_shared_ge40_cells,same_perturbation_modality,perturbation_modality_a,perturbation_modality_b,readout_modality_a,readout_modality_b,same_readout_modality,same_library_evidence,exact_guide_signature_fraction,batch_id_overlap_count,obvious_batch_context_confound,batch_context_status,batch_context_evidence,provenance_evidence_source,provenance_evidence_type,batch_id_context_mapping,batch_nested_in_context,technical_replicates_exist,context_is_intended_biological_factor,context_comparison_in_original_study_design,provenance_audit_notes,outcome_blind,prediction_evaluated,risk_evaluated,eligible,reason
nadig_hepg2_vs_jurkat,NadigOConner2024,Hep-G2,Jurkat,H:/2026try/9.5PTL/data/raw/scperturb_v1.4/NadigOConner2024_hepg2.h5ad,H:/2026try/9.5PTL/data/raw/scperturb_v1.4/NadigOConner2024_jurkat.h5ad,True,True,2392,145473,262956,4976,12013,41.0,0.8720735785953178,0.5246655518394648,True,CRISPR,CRISPR,RNA,RNA,True,True,1.0,55,False,supported_independent_context,see predeclared GEO study-design audit,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,GEO series design and sample metadata,H5AD batch/gem-group IDs are context-local; the GEO design states that Jurkat and HepG2 screens were conducted in parallel.,True,True,True,True,"GEO describes two parallel pooled CRISPR screens with scRNA-seq readout, the same dual-sgRNA library family, low infection rate, day-7 harvest, and 10x Genomics Chromium 3-prime v3. The local exports contain one cell line per file and 56/55 context-local batch IDs; repeated numeric IDs are not treated as shared physical batches.",True,False,False,True,eligible by metadata gate
replogle_k562_essential_vs_rpe1,ReplogleWeissman2022,K562,RPE1,H:/2026try/9.5PTL/data/raw/scperturb_v1.4/ReplogleWeissman2022_K562_essential.h5ad,H:/2026try/9.5PTL/data/raw/scperturb_v1.4/ReplogleWeissman2022_rpe1.h5ad,True,True,2055,310385,247914,10691,11485,61.0,0.9124087591240876,0.716301703163017,True,CRISPR,CRISPR,RNA,RNA,True,True,0.997080291970803,48,True,confounded,see predeclared Figshare study-design audit,https://plus.figshare.com/articles/dataset/_Mapping_information-rich_genotype-phenotype_landscapes_with_genome-scale_Perturb-seq_Replogle_et_al_2022_processed_Perturb-seq_datasets/20029387,Figshare dataset design and associated Cell study,The public dataset identifies K562 essential as day 6 and RPE1 essential as day 7 post-transduction; the timepoint is inseparable from the context comparison in these exports.,False,True,True,True,"Same study/platform and CRISPRi Perturb-seq family, but the public processed data explicitly uses different harvest days (K562 day 6, RPE1 day 7). Without an additional matched-timepoint audit this is an irreducible context/time confound, so it cannot be headline replication evidence.",True,False,False,False,batch/context provenance is confounded with the intended context
drepanos_k562_vs_a549,Drepanos2026,K562,A549,,,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,not audited: no local Drepanos H5AD found,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,"local metadata files unavailable: None, None"
drepanos_k562_ko_vs_crispri,Drepanos2026,K562 CRISPRko,K562 CRISPRi,,,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,not audited: no local Drepanos H5AD found,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,"local metadata files unavailable: None, None"
local_adamsonweissman2016_adamsonweissman2016_gsm2406675_10x001_adamsonweissman2016_gsm2406677_10x005,AdamsonWeissman2016,AdamsonWeissman2016_GSM2406675_10X001,AdamsonWeissman2016_GSM2406677_10X005,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406675_10X001.h5ad,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406677_10X005.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,"local metadata unavailable or incomplete: AdamsonWeissman2016_GSM2406675_10X001.h5ad is missing metadata columns: ['batch', 'guide_id']"
local_adamsonweissman2016_adamsonweissman2016_gsm2406675_10x001_adamsonweissman2016_gsm2406681_10x010,AdamsonWeissman2016,AdamsonWeissman2016_GSM2406675_10X001,AdamsonWeissman2016_GSM2406681_10X010,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406675_10X001.h5ad,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406681_10X010.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,"local metadata unavailable or incomplete: AdamsonWeissman2016_GSM2406681_10X010.h5ad is missing metadata columns: ['batch', 'guide_id']"
local_adamsonweissman2016_adamsonweissman2016_gsm2406677_10x005_adamsonweissman2016_gsm2406681_10x010,AdamsonWeissman2016,AdamsonWeissman2016_GSM2406677_10X005,AdamsonWeissman2016_GSM2406681_10X010,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406677_10X005.h5ad,data/raw/scperturb_v1.4/AdamsonWeissman2016_GSM2406681_10X010.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,"local metadata unavailable or incomplete: AdamsonWeissman2016_GSM2406677_10X005.h5ad is missing metadata columns: ['batch', 'guide_id']"
local_dixitregev2016_dixitregev2016_k562_tfs_13_days_dixitregev2016_k562_tfs_7_days,DixitRegev2016,DixitRegev2016_K562_TFs_13_days,DixitRegev2016_K562_TFs_7_days,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_13_days.h5ad,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_7_days.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,local metadata unavailable or incomplete: DixitRegev2016_K562_TFs_13_days.h5ad is missing metadata columns: ['batch']
local_dixitregev2016_dixitregev2016_k562_tfs_13_days_dixitregev2016_k562_tfs_high_moi,DixitRegev2016,DixitRegev2016_K562_TFs_13_days,DixitRegev2016_K562_TFs_High_MOI,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_13_days.h5ad,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_High_MOI.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,local metadata unavailable or incomplete: DixitRegev2016_K562_TFs_High_MOI.h5ad is missing metadata columns: ['batch']
local_dixitregev2016_dixitregev2016_k562_tfs_7_days_dixitregev2016_k562_tfs_high_moi,DixitRegev2016,DixitRegev2016_K562_TFs_7_days,DixitRegev2016_K562_TFs_High_MOI,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_7_days.h5ad,data/raw/scperturb_v1.4/DixitRegev2016_K562_TFs_High_MOI.h5ad,False,False,0,0,0,0,0,,,,False,,,RNA,RNA,False,False,,0,False,unresolved,auto-discovered same-study file pair; cross-context batch provenance is not inferred from outcomes,not audited,no external provenance audit,not established,,,,,No predeclared study-design evidence was found.,True,False,False,False,local metadata unavailable or incomplete: DixitRegev2016_K562_TFs_7_days.h5ad is missing metadata columns: ['batch']
