estimand,source_environment_id,left_target_environment_id,right_target_environment_id,metric,n_split_seeds,n_perturbations_primary_min,min_cells_primary,eligibility_min_cells,sensitivity_min_cells,ordering_estimator,rank_displacement_estimator,bootstrap_unit,measurement_definition,joint_definition,metric_entrypoint,refit_per_metric,ordering_cross_disagreement,ordering_cross_disagreement_ci_low,ordering_cross_disagreement_ci_high,ordering_measurement_floor,ordering_measurement_floor_ci_low,ordering_measurement_floor_ci_high,ordering_joint_floor,ordering_joint_floor_ci_low,ordering_joint_floor_ci_high,ordering_delta_meas_id,ordering_delta_meas_id_ci_low,ordering_delta_meas_id_ci_high,ordering_delta_joint_id,ordering_delta_joint_id_ci_low,ordering_delta_joint_id_ci_high,rank_displacement_cross,rank_displacement_cross_ci_low,rank_displacement_cross_ci_high,rank_displacement_measurement_floor_max,rank_displacement_measurement_floor_max_ci_low,rank_displacement_measurement_floor_max_ci_high,rank_displacement_joint_floor_max,rank_displacement_joint_floor_max_ci_low,rank_displacement_joint_floor_max_ci_high,rank_displacement_delta_meas_max,rank_displacement_delta_meas_max_ci_low,rank_displacement_delta_meas_max_ci_high,rank_displacement_delta_joint_max,rank_displacement_delta_joint_max_ci_low,rank_displacement_delta_joint_max_ci_high,bootstrap_draws,bootstrap_seed,target_environment_id,shared_prediction_label_count,eligible_label_count,analysis_scope
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.2847871134587873,0.2570127654891603,0.3129021312497707,0.2264475441106342,0.1985950625435604,0.2541730860936869,0.3298555949891786,0.296255410659917,0.3639014984776787,0.058339569348153,0.0332269542569971,0.0834823557463042,-0.0450684815303914,-0.0835800227431128,-0.0106865118667693,0.1997761912622427,0.1799237005245589,0.219457283298485,0.1678988298301603,0.1466903268405414,0.1908266387880121,0.2355790781702799,0.2108139833461721,0.2606305711455925,0.0318773614320824,0.0072255236418326,0.0544018928139099,-0.0358028869080371,-0.065149389237372,-0.0095544000586919,2000,20272766,frangieh_melanoma_control,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.3591701423278676,0.322767414988445,0.3998573970140494,0.2313261527456806,0.2051098639081471,0.2594814937089615,0.3095333351674553,0.2786042790066395,0.3441273706026925,0.127843989582187,0.0934796962693958,0.1645225780418913,0.0496368071604123,0.0072330893951065,0.0901661256006749,0.2470774916547448,0.2222722020468801,0.2739669307802355,0.1711566340192949,0.1491067825831774,0.1985996478485748,0.2248742067422325,0.1990934851986354,0.255483566266828,0.0759208576354499,0.0435007886724625,0.1033541506180991,0.0222032849125123,-0.012315212207916,0.0537402333003191,2000,20270875,frangieh_melanoma_control,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.1269926543413668,0.1045263838450533,0.1521865026961593,0.0795748596896665,0.068320586185393,0.0931188327647555,0.0824572741278749,0.0715399288360661,0.0961909871244635,0.0474177946517002,0.0278048310773632,0.0705772440482741,0.0445353802134918,0.0254383551593852,0.0677251843292615,0.0872232493305454,0.0725074281941234,0.1036290396537177,0.0597078151938666,0.0508771688492718,0.0702661311030409,0.0611983878067569,0.0522811892447085,0.0716318642016067,0.0275154341366787,0.0138843035838744,0.0433774439675727,0.0260248615237885,0.0121395950258611,0.04198419903892,2000,20272280,frangieh_melanoma_control,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,30,237,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.2786213705928628,0.2469762390045054,0.3116315347207323,0.2212276424944575,0.1980972430808839,0.2458167953944075,0.3298636245798469,0.2975083583637274,0.3634060108703426,0.0573937280984052,0.028408603304012,0.0849983015089751,-0.0512422539869842,-0.0888348798541085,-0.0144789655295716,0.1968546449259815,0.1721335729099621,0.2194101766430665,0.1643547700779518,0.146064864478295,0.1854421440320388,0.2366070809196882,0.2134895945076163,0.2625344167918186,0.0324998748480297,0.0084915611814346,0.0559612565257812,-0.0397524359937066,-0.0701222019595222,-0.0124414467567761,2000,20272417,frangieh_melanoma_ifng,243,237,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,30,237,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.3153157137238074,0.2810193627976828,0.3511362011013372,0.2013268164914538,0.1791255453050132,0.2247076807552027,0.2789339018808554,0.2529484463276836,0.3076123685904312,0.1139888972323535,0.0816343953371951,0.1500263713080168,0.0363818118429521,-0.0025039333476363,0.0760854698562539,0.216110160552099,0.1910476113852535,0.2416505756990631,0.152050025030394,0.1305469141099907,0.1802206250446971,0.2023481995995137,0.1820420331831509,0.2262568833583637,0.0640601355217049,0.0322865264964599,0.096208789244082,0.0137619609525852,-0.0151469641707788,0.0442693806765357,2000,20270526,frangieh_melanoma_ifng,243,237,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,30,237,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.0969033871486805,0.0826872362869198,0.1140239487234499,0.071380166988486,0.0606790388328684,0.0848195129800471,0.0749530322534506,0.0640684223700207,0.0887870539226203,0.0255232201601945,0.0153212829864836,0.0364288332260602,0.0219503548952299,0.0117014857326753,0.0330778892226274,0.0674894604162197,0.0575158227848101,0.0798203622255596,0.0526953801044125,0.044338214260173,0.0636849209754702,0.0549842889580204,0.0464398734177215,0.0658835729099621,0.0147940803118071,0.0049254004863047,0.0238354162196953,0.0125051714581992,0.0029321318744189,0.0216785561038403,2000,20271931,frangieh_melanoma_ifng,243,237,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.3459032959172444,0.3128613220351418,0.3804001137155644,0.2598863119474707,0.2283110487509629,0.2916992223322695,0.3193647472579876,0.2868360478339019,0.3538633487399581,0.0860169839697736,0.0548026484721763,0.1229265250724478,0.0265385486592568,-0.0126928120758593,0.0682637284032133,0.2394717728623308,0.2154359708007776,0.2630878361028575,0.1950321704999816,0.1685539782106305,0.2244268368731888,0.2326085066578629,0.2068522798136532,0.2631048017314111,0.0444396023623491,0.0173136532042111,0.0740256226844209,0.0068632662044679,-0.0254145115733098,0.0382785847914603,2000,20272553,frangieh_melanoma_coculture,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.374313909981292,0.3386169803015297,0.4119295880561974,0.2429561644840615,0.2149737720553171,0.2766071494075786,0.271477229375298,0.2427618667693775,0.3045495396353765,0.1313577454972305,0.091263618355893,0.1727596199699203,0.1028366806059939,0.0628702633799199,0.1450435145445875,0.2575056490957778,0.2310943288947581,0.2839816954623821,0.1809328527933678,0.1567055500531895,0.2084424635926781,0.1981416033894575,0.1762549979824658,0.2248340119584754,0.07657279630241,0.0441450240269982,0.1050268698873848,0.0593640457063203,0.0279643996918674,0.0868846520670554,2000,20270662,frangieh_melanoma_coculture,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,30,234,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.1239194912145555,0.1015546476651626,0.1490684952863064,0.0786399985327024,0.0678074905542716,0.0915236051502145,0.0817868154139613,0.0706320384431972,0.0944034059645647,0.0452794926818531,0.0265654231319467,0.0674344759913429,0.0421326758005942,0.0232461208319577,0.0650847364366677,0.0847595466050401,0.0703899343384322,0.1017119236271596,0.0576893914383184,0.0488610102344007,0.0676259124756978,0.0597630222662411,0.0508051795605443,0.0698344246359267,0.0270701551667216,0.0144794761747551,0.0421671527089982,0.024996524338799,0.0126279300099042,0.0399641429147866,2000,20272067,frangieh_melanoma_coculture,243,234,full shared prediction surface after locked per-transfer min-cell eligibility
matched_budget_source_frozen,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,30,235,20,20,40,pairwise-order disagreement with U-statistic within-context floors; plugin/V identity retained as a separate diagnostic,normalized rank displacement; secondary magnitude diagnostic only,matched perturbation label; each draw also selects one of 30 measurement seeds and one unordered model-member pair,fixed source-frozen mean prediction versus two independent full-size with-replacement raw-cell truth pseudoreplicates,source-frozen model member pairs crossed with two independent full-size with-replacement truth pseudoreplicates,delta_cosine; third_party/systema/evaluation/centroid_accuracy.py-equivalent chunked distance; absolute_effect_rank_agreement,0,0.3282960992907801,0.2928327877795963,0.366126568466994,0.2549964811783961,0.2219421713038734,0.2943994362611384,0.3154638843426078,0.2844769503546099,0.3514745862884161,0.073299618112384,0.0356382978723404,0.1118589743589743,0.0128322149481723,-0.0278261956719403,0.0513761593016911,0.2285788234224404,0.203341516639389,0.2550472813238771,0.1875775231860338,0.1608292416803055,0.2221876704855428,0.2287478268776141,0.2043957992362247,0.2576886706673941,0.0410013002364066,0.0079791780323695,0.0713052373158756,-0.0001690034551736,-0.0319153482451355,0.0304437170394617,2000,20271991,frangieh_melanoma_ifng,243,235,full shared prediction surface after locked per-transfer min-cell eligibility
