source_environment_id,left_target_environment_id,right_target_environment_id,metric,feature_ladder,feature_columns,n_labels,outer_protocol,target_feature_leakage,task,spearman,mae,auprc,positive_prevalence,auprc_lift
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.19895238095238096,0.04339824769877464,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.147825931741607,0.048462892374366275,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.11233333333333333,0.07179480281342222,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.1623809523809524,0.06310759410421085,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.11423809523809524,0.03585583440761251,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.044523809523809535,0.06691032501673413,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.21200000000000002,0.05436144107947781,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.30999999999999994,0.05627718823266339,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.09285714285714285,0.07363875846248072,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.026571428571428565,0.0682555953008974,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.15087175728348812,0.0496577460305558,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.2768571428571429,0.03647797277155652,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.07423809523809524,0.038220454996929394,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.09142857142857143,0.05080370671407525,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.019142857142857156,0.05931097149000171,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.22142857142857145,0.06748501674280237,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.006333333333333337,0.026528141042071428,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,U,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.009000000000000018,0.055402879755197726,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.16866666666666666,0.04404770193223065,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.06854593751304236,0.04797175757520196,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.17290476190476187,0.07297815384365544,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.045714285714285714,0.07058813874164235,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.13980952380952383,0.03580302950728897,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.0823809523809524,0.06553764068554886,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.0017142857142857042,0.05191599841903222,,,
