source_environment_id,left_target_environment_id,right_target_environment_id,metric,n_items,minimum_strict_support,stable_fraction_both,stable_order_inversion_fraction,crossfit_heldout_inversion_fraction,crossfit_heldout_evaluable_fraction
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,237,8,0.7601730672960023,0.1262994496448563,0.0960406201047912,0.6619824072087535
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,234,8,0.7559150434686915,0.1202018731499005,0.0910003625512452,0.6576611276182092
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,235,8,0.7606110201854883,0.1181561708028499,0.0874539354270942,0.6612474995453719
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,237,8,0.7755846384895945,0.2171507607192254,0.1879584992664011,0.6824000572123292
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,234,8,0.7362165731264444,0.2641255605381166,0.2357567284166375,0.6296907670298229
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,235,8,0.7655937443171486,0.1782422802850356,0.1479167235122377,0.6664666302964175
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,237,8,0.9291997425445184,0.0387516354960363,0.0279581026723485,0.89784023457055
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,234,8,0.9231502879571548,0.0685448621155527,0.0573314085378428,0.8893657606103957
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,235,8,0.922349518094199,0.0549290220820189,0.0452000490416445,0.8899436261138389
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,237,8,0.7194092827004219,0.1724737810030319,0.1369464212197847,0.6079882714725022
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,234,8,0.7031290121418877,0.2024728714524207,0.1693450623232103,0.5900553904845751
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,235,8,0.7133296963084197,0.1753938714118187,0.1375022745193182,0.5996362975086379
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,237,8,0.74565543874705,0.283220639716108,0.2567167513824498,0.6401702066795394
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,234,8,0.7259821723341037,0.2851801323834066,0.2586960426270729,0.6127067972561535
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,235,8,0.7419530823786143,0.2061764705882353,0.1745121533721328,0.6374249863611565
frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,237,8,0.9308445970106558,0.0352642901044867,0.0254504370577391,0.902006007294572
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,234,8,0.9233337001577344,0.0642803225934607,0.0537583450094782,0.89013609185283
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,235,8,0.9290780141843972,0.0497944803288314,0.0413044357284379,0.899472631387525
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,237,8,0.8026889794750769,0.1202334283677833,0.093047362835353,0.7243974826575127
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,234,8,0.7949451597520267,0.1180379308753633,0.0920683170612329,0.7119878214298815
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,235,8,0.7953082378614293,0.1172085791375131,0.0875179708359006,0.7083469721767595
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,237,8,0.7615318601158549,0.253697703901958,0.2252396166134185,0.6603375527426161
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,234,8,0.7188290965115,0.2842927127985303,0.2538220722774383,0.6034444811268845
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,235,8,0.7602473176941262,0.2050423384203224,0.1760247828732643,0.6574649936352064
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,237,8,0.928520346134592,0.0381253128971386,0.0284191476244456,0.8990023600085819
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,234,8,0.9202523751879976,0.0694383545262486,0.0575067301718782,0.8856975165988041
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,235,8,0.92675031823968,0.0517640594953102,0.0419976837271674,0.8950172758683397
