prediction_id,biological_instance_id,environment_id,predictor,prediction_norm,prediction_sparsity,prediction_concentration,prediction_geometry_distance,support_cells,support_signatures,reference_key_overlap,perturbation_seen_fraction,component_seen_fraction,combination_novelty,perturbation_novelty,cell_context_code,perturbation_modality_code,readout_modality_code,condition_code,platform_code,batch_distance
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ahr-klf1__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ahr-klf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,246.0,4.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-bcl2l11-tgfbr2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-bcl2l11-tgfbr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,61.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-fosb-osr2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-fosb-osr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,97.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-foxa1-hoxb9__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-foxa1-hoxb9,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,107.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-glb1l2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-glb1l2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,129.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-hk2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-hk2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,114.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-hoxa13__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-hoxa13,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,67.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-irf1-set__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-irf1-set,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,103.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-lhx1__mean-global__random-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-lhx1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.971531629562378,0.2589778595595655,0.13893906772136688,0.8610609322786331,36.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-maml2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-maml2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,161.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-map2k3-slc38a2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-map2k3-slc38a2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,167.0,4.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-pou3f2-foxl2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-pou3f2-foxl2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,105.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ptpn12-zbtb25__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ptpn12-zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,75.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-samd1-ubash3b__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-samd1-ubash3b,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,82.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-tbx2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-tbx2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,183.0,2.0,1.0,1.0,1.0,0.0,0.7071067811865475,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-tmsb4x__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-tmsb4x,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,215.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ubash3b-osr2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-ubash3b-osr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,301.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-zbtb25__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,86.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-zc3hav1-cebpa__mean-global__random-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-1-zc3hav1-cebpa,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.971531629562378,0.2589778595595655,0.13893906772136688,0.8610609322786331,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cebpe-klf1__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cebpe-klf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,215.0,4.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-celf2__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-celf2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,56.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cks1b__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cks1b,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,84.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cnn1-ubash3a__mean-global__random-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-cnn1-ubash3a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.971531629562378,0.2589778595595655,0.13893906772136688,0.8610609322786331,68.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-dusp9-igdcc3__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-dusp9-igdcc3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.950850248336792,0.26215349913931263,0.1400619000196457,0.8599380999803543,140.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-ets2-cnn1__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-ets2-cnn1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-fosb-ubash3b__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-fosb-ubash3b,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,153.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-igdcc3-mapk1__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-igdcc3-mapk1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,3.0051536560058594,0.26164895827150236,0.1377744972705841,0.8622255027294159,119.0,3.0,1.0,1.0,1.0,0.0,0.5773502691896258,1.0,1.0,1.0,1.0,1.0,0.0
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-map2k3__mean-global__random-split__ensemble2,bio__env-normanweissman2019-filtered-k562-rna-baseline__normanweissman2019-filtered-2-map2k3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,2.959170341491699,0.26233157238677507,0.1389748752117157,0.8610251247882843,74.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
