prediction_id,environment_id,predictor,uq_quantile,fidelity_delta_cosine,support_cells,perturbation_novelty
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__arid1a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5872356,30,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__osr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.20547193,132,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxl2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.568897,16,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__control__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.9838030214991285,0.0,1472,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcorl1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.15896875,67,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.47255108,137,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__slc4a1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.31835553,124,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__runx1t1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.09833649,100,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c-cdkn1a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5114145,21,0.3779644730092272
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.028017303,79,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4298987,47,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zc3hav1-cebpe__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.06597265,43,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1-set__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.39317185,51,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-prtg__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.2512574,11,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-bak1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.085821874,17,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.3624131,72,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm-zbtb1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.35857117,57,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5459662,63,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cited1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.5347012,23,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6-elmsan1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.31479552,55,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-osr2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.048629127,103,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bak1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.12798032,170,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.41825992,27,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tmsb4x__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.2321779,63,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxa1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.54148436,26,0.35355339059327373
