prediction_id,biological_instance_id,environment_id,environment_key,predictor,scenario,heldout_environment_id,heldout_predictor,uq_mean_gene_variance,uq_median_gene_variance,uq_top_effect_variance,uq_cosine_disagreement,uq_effect_norm_variance,prediction_norm,prediction_sparsity,prediction_concentration,prediction_manifold_distance,support_cells,support_signatures,reference_key_overlap,perturbation_seen_fraction,component_seen_fraction,combination_novelty,perturbation_novelty,batch_distance,cell_context,perturbation_modality,readout_modality,condition,platform
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~apoe:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~apoe,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,354.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~atp1b1:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~atp1b1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,331.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~b2m:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~b2m,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,479.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~bola2:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~bola2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,218.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd44:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd44,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,418.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd47:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd47,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,306.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn1a:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn1a,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,357.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn2b:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn2b,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,315.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cited1:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cited1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,349.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
formal_v2:bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsa:mean_matching:in_domain,bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsa,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,mean_matching,in_domain,,,5.258397189523478e-06,2.091343137711844e-06,1.3929078309976632e-05,0.035746358617850915,0.0006707450398412274,0.5595809817314148,0.0,0.050281511388393575,0.0,297.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,patient-derived_melanoma,CRISPRn,RNA,Co-culture,Perturb-CITE-seq
