method,metric,estimate,ci_lower,ci_upper,n_resamples,n_valid,confidence,aggregation_level,baseline_method,resample_level,predictor,environment_id,split_family
gbdt_full_id,auprc,0.5787174064429993,0.5198076455719617,0.6361031053295101,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,aurc,0.3535048460392916,0.3230630593451551,0.38707497925556056,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,auroc,0.6316590067908627,0.5953627097255221,0.6668726492678041,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,brier,0.19169994848990174,0.17741957663413258,0.20655679792140416,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,excess_aurc,0.05642806325295552,0.049998951728653734,0.06158058077890089,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,ftr_at_50,0.4756333209297107,0.41885480244845547,0.5285375264883387,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,ftr_at_80,0.5115079007886776,0.46238148264306933,0.5628824221346577,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,log_loss,0.583005982087573,0.5461891595888324,0.6258185545954001,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,risk_at_50,0.3524448171343544,0.3218323831861892,0.38701191836984855,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,risk_at_80,0.360903678808306,0.33182776578582457,0.3929693799075326,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_full_id,spearman_predicted_risk_realized_risk,0.18471908887622632,0.12975328350350887,0.23610894184784753,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_uncalibrated,auprc,0.5937917497365973,0.5355039862565528,0.6509552872396708,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_uncalibrated,aurc,0.3505982669717442,0.3207161862737491,0.38426541648655915,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_uncalibrated,auroc,0.6470113320136077,0.6123763008831945,0.6815403950628889,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_uncalibrated,brier,0.19083339774630884,0.17680189999086132,0.2045206537169886,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
gbdt_uncalibrated,excess_aurc,0.053521484185408114,0.04878369986185005,0.05819562603069514,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
