prediction_id,biological_instance_id,environment_id,predictor,fidelity_delta_cosine,continuous_risk,reliable_label,legacy_transportability_label,legacy_target_risk
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__arid1a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__arid1a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5872356,0.20638216,1,1.0,0.4188345901928858
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__osr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__osr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.20547193,0.397264,0,0.0,0.784110567227162
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxl2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxl2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.568897,0.2155515,1,1.0,0.4293652096395508
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__control__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__control,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.0,0.5,0,-1.0,
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcorl1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bcorl1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.15896875,0.42051566,0,0.0,0.8397076824664399
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__set,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.47255108,0.26372445,0,1.0,0.5371584644146322
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__slc4a1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__slc4a1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.31835553,0.34082222,0,0.0,0.6849224857036955
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__runx1t1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__runx1t1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.09833649,0.45083177,0,0.0,0.9041902290718892
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c-cdkn1a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c-cdkn1a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5114145,0.24429274,1,1.0,0.4969401428612607
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.028017303,0.51400864,0,0.0,1.0260262504484314
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4298987,0.28505063,0,0.0,0.5788931699614439
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zc3hav1-cebpe__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__zc3hav1-cebpe,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.06597265,0.5329863,0,0.0,1.061133329117116
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1-set__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1-set,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.39317185,0.3034141,0,0.0,0.6130224419635935
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-prtg__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-prtg,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.2512574,0.3743713,0,0.0,0.7558643465681203
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-bak1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-bak1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.085821874,0.54291093,0,0.0,1.0869042728107932
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.3624131,0.31879342,0,0.0,0.6461134305415304
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm-zbtb1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm-zbtb1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.35857117,0.3207144,0,0.0,0.6448233547637188
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5459662,0.22701693,1,1.0,0.4648020242104208
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cited1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cited1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5347012,0.23264939,1,1.0,0.4670280030252193
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6-elmsan1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6-elmsan1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.31479552,0.65739775,0,0.0,1.310662038263596
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-osr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-osr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.048629127,0.47568542,0,0.0,0.9431938880024072
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bak1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bak1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.12798032,0.5639902,0,0.0,1.1251089681444617
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1c,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.41825992,0.29087007,0,0.0,0.5855079607437057
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tmsb4x__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tmsb4x,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.2321779,0.38391107,0,0.0,0.7757966093041574
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxa1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3-foxa1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.54148436,0.22925782,1,1.0,0.46317416879326856
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-ptpn9__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-ptpn9,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.46063024,0.2696849,0,1.0,0.5496554916465841
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-mapk1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-mapk1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.3968127,0.30159366,0,0.0,0.6066926704871607
