environment_id,predictor,split_family,support_bin,novelty_bin,n,mean_fidelity,mean_confidence,spearman_confidence_fidelity,degenerate_uq_rate
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,low,low,1797,0.33224675785518226,0.19652046881495247,-0.007136846874423258,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,dataset_heldout_split,high,low,32,0.27013199240900576,0.39558416404688573,-0.5531200071319206,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,low,low,5,0.6317422568798066,0.9797702062506539,0.3,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,random_split,high,low,106,0.4037183289908154,0.9777197476655208,-0.042830089061599796,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_global,unseen_perturbation_split,low,low,171,0.5508777184836697,0.35304986330056537,-0.3879655016291806,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,low,low,1797,0.32671973746743893,0.33440083050895236,0.10223411771913106,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,dataset_heldout_split,high,low,32,-0.0045085406163707376,0.7517608356209926,-0.6474993619028178,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,low,low,5,0.7551271319389343,0.11424426872528541,0.3,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,random_split,high,low,106,0.619924969549449,0.18391129160807151,-0.016057802083964255,0.0
env__normanweissman2019-filtered__k562__rna__baseline,mean_matching,unseen_perturbation_split,low,low,171,0.6014268301775929,0.37144953037570955,-0.7170791213733242,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,low,low,935,0.1105561145360614,0.2777878226745977,0.02084394552956334,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,low,mid,862,0.10705964825075041,0.22625207409964684,0.0665773735760187,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,high,low,20,0.06811175234615803,0.5601397753648241,-0.8174972216820205,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,dataset_heldout_split,high,mid,12,0.11847916338592768,0.2216326838991384,0.1398601398601399,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,random_split,low,low,5,0.7685140252113343,0.6120422241804246,0.09999999999999999,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,random_split,high,low,106,0.6359993829479758,0.955724213797735,-0.017716639752873357,0.0
env__normanweissman2019-filtered__k562__rna__baseline,ridge,unseen_perturbation_split,low,mid,171,0.5593580828424085,0.9735218968974075,-0.20347292163028222,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,dataset_heldout_split,low,mid,1805,0.1580663644962646,0.763240811036607,0.01566598897519482,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,dataset_heldout_split,mid,mid,1003,0.15528636590953662,0.7632444420146713,-0.029382510847735677,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,dataset_heldout_split,high,low,286,0.12483746016750574,0.8016476717487475,-0.1935368285479486,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,dataset_heldout_split,high,mid,164,0.15563132084917458,0.76323286292342,-0.028958640690172042,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,low,mid,18,0.1524547042014698,0.0559896142678799,0.3832236469460488,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,high,low,148,0.19116795512161697,0.06927259159451432,-0.20208221985919123,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,high,mid,15,0.11893941809733709,0.05657576996731774,-0.167119208230987,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,mid,mid,247,0.1279414880658813,0.01947558303834839,-0.08502234807959583,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,mid,mid,2808,0.15270830390288684,0.7389140990492763,0.05735954510643369,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,high,low,286,0.08694034157357695,0.35702768129075324,0.05493747224526249,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,high,mid,164,0.05725709664019211,0.5300993642470913,0.4975708375604701,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,mid,mid,18,0.21525712247239426,0.2512107217594852,-0.5092977924247021,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,high,low,148,0.30431010393186697,0.15088554302970536,0.08535067339690802,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,high,mid,15,0.1508844722993672,0.37347316904835753,0.38248451376643655,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,mid,mid,247,0.1279414880658813,0.20128216448430197,-0.04336973762442219,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,mid,mid,151,0.12177942876414155,0.6256716474531403,-0.18579877306431494,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,mid,high,2657,0.11455864966148926,0.6106416612245339,-0.009135489341510823,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,high,low,286,0.10807497953341531,0.3566670250622731,0.0071769326804485886,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,high,mid,9,0.12062380897502105,0.3432341927995488,0.8166666666666667,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,high,high,155,0.09954853249402086,0.32010183887921634,0.540879570886432,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,mid,mid,18,0.28367406047052807,0.48347448154572564,-0.6635706914344685,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,high,low,148,0.3663486824811411,0.4820675515505096,-0.06184164496824786,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,high,mid,15,0.23667079557975132,0.233777821898452,-0.38928571428571423,0.0
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,mid,high,247,0.22470900552490583,0.8915655153720266,0.007509143544291605,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,mid,high,337,0.06482444982297783,0.43484522127590874,-0.018706395499264,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,high,low,286,0.056220763537363584,0.5440164527532378,-0.1165156217609683,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,high,high,1174,0.057054311132480745,0.4348468623641881,-0.034408566542716894,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,mid,high,9,0.17212752987527186,0.051171538591897825,-0.04184137043778616,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,high,low,98,0.11608078984819277,0.08225915062442615,-0.07125005797429317,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,high,high,5,-0.04194556027650833,0.04580489205239222,0.15811388300841897,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,high,high,36,0.08604095691892628,0.009669330203268104,-0.46476697425129443,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,high,low,286,0.05243608672489328,0.28404419513379076,-0.28967266733031277,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,high,high,1511,0.05471572922649014,0.467470904348013,0.02335312550762814,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,high,low,98,0.2989239773056137,0.18779681374650545,-0.14056866330333176,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,random_split,high,high,14,0.13139954755648173,0.25114815650491323,-0.04180420571465299,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,unseen_perturbation_split,high,high,36,0.08604095691892628,0.19034238181972393,-0.5280093561960693,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,high,low,286,0.0378167755259494,0.3088545444955635,-0.27781174160112165,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,dataset_heldout_split,high,high,1511,0.017394002468876932,0.5161707297451076,0.07725078834008649,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,high,low,98,0.373636643877443,0.6212368218686468,-0.03433347785130098,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,random_split,high,high,14,0.23433894511046155,0.45579720446849636,-0.1164835164835165,0.0
env__replogleweissman2022-rpe1__rpe1__rna__baseline,ridge,unseen_perturbation_split,high,high,36,0.20242540258914232,0.5716555174777221,-0.04517665238777616,0.0
