dataset_id,predictor,split_family,tau,n,reliable_rate
NormanWeissman2019_filtered,mean_global,dataset_heldout_split,0.6,1829,0.6724986331328595
NormanWeissman2019_filtered,mean_global,random_split,0.6,111,0.7657657657657657
NormanWeissman2019_filtered,mean_global,unseen_perturbation_split,0.6,171,0.935672514619883
NormanWeissman2019_filtered,mean_matching,dataset_heldout_split,0.6,1829,0.4455986878075451
NormanWeissman2019_filtered,mean_matching,random_split,0.6,111,0.8198198198198198
NormanWeissman2019_filtered,mean_matching,unseen_perturbation_split,0.6,171,0.8304093567251462
NormanWeissman2019_filtered,ridge,dataset_heldout_split,0.6,1829,0.0
NormanWeissman2019_filtered,ridge,random_split,0.6,111,0.8738738738738738
NormanWeissman2019_filtered,ridge,unseen_perturbation_split,0.6,171,0.8421052631578947
ReplogleWeissman2022_K562_essential,mean_global,dataset_heldout_split,0.6,3258,0.5506445672191529
ReplogleWeissman2022_K562_essential,mean_global,random_split,0.6,181,0.6740331491712708
ReplogleWeissman2022_K562_essential,mean_global,unseen_perturbation_split,0.6,247,0.4898785425101215
ReplogleWeissman2022_K562_essential,mean_matching,dataset_heldout_split,0.6,3258,0.4459791282995703
ReplogleWeissman2022_K562_essential,mean_matching,random_split,0.6,181,0.6408839779005525
ReplogleWeissman2022_K562_essential,mean_matching,unseen_perturbation_split,0.6,247,0.41700404858299595
ReplogleWeissman2022_K562_essential,ridge,dataset_heldout_split,0.6,3258,0.28483732351135665
ReplogleWeissman2022_K562_essential,ridge,random_split,0.6,181,0.7458563535911602
ReplogleWeissman2022_K562_essential,ridge,unseen_perturbation_split,0.6,247,0.5951417004048583
ReplogleWeissman2022_rpe1,mean_global,dataset_heldout_split,0.6,1797,0.46800222593210905
ReplogleWeissman2022_rpe1,mean_global,random_split,0.6,112,0.5803571428571429
ReplogleWeissman2022_rpe1,mean_global,unseen_perturbation_split,0.6,36,0.5277777777777778
ReplogleWeissman2022_rpe1,mean_matching,dataset_heldout_split,0.6,1797,0.23316638842515303
ReplogleWeissman2022_rpe1,mean_matching,random_split,0.6,112,0.6339285714285714
ReplogleWeissman2022_rpe1,mean_matching,unseen_perturbation_split,0.6,36,0.3611111111111111
ReplogleWeissman2022_rpe1,ridge,dataset_heldout_split,0.6,1797,0.014468558708959377
ReplogleWeissman2022_rpe1,ridge,random_split,0.6,112,0.7946428571428571
ReplogleWeissman2022_rpe1,ridge,unseen_perturbation_split,0.6,36,0.4444444444444444
NormanWeissman2019_filtered,mean_global,dataset_heldout_split,0.7,1829,0.5932203389830508
NormanWeissman2019_filtered,mean_global,random_split,0.7,111,0.7207207207207207
NormanWeissman2019_filtered,mean_global,unseen_perturbation_split,0.7,171,0.8596491228070176
NormanWeissman2019_filtered,mean_matching,dataset_heldout_split,0.7,1829,0.2695462001093494
NormanWeissman2019_filtered,mean_matching,random_split,0.7,111,0.7927927927927928
NormanWeissman2019_filtered,mean_matching,unseen_perturbation_split,0.7,171,0.7777777777777778
NormanWeissman2019_filtered,ridge,dataset_heldout_split,0.7,1829,0.0
NormanWeissman2019_filtered,ridge,random_split,0.7,111,0.8108108108108109
NormanWeissman2019_filtered,ridge,unseen_perturbation_split,0.7,171,0.7368421052631579
ReplogleWeissman2022_K562_essential,mean_global,dataset_heldout_split,0.7,3258,0.5147329650092081
ReplogleWeissman2022_K562_essential,mean_global,random_split,0.7,181,0.6243093922651933
ReplogleWeissman2022_K562_essential,mean_global,unseen_perturbation_split,0.7,247,0.43724696356275305
ReplogleWeissman2022_K562_essential,mean_matching,dataset_heldout_split,0.7,3258,0.4045426642111725
ReplogleWeissman2022_K562_essential,mean_matching,random_split,0.7,181,0.6077348066298343
ReplogleWeissman2022_K562_essential,mean_matching,unseen_perturbation_split,0.7,247,0.3643724696356275
ReplogleWeissman2022_K562_essential,ridge,dataset_heldout_split,0.7,3258,0.21731123388581952
ReplogleWeissman2022_K562_essential,ridge,random_split,0.7,181,0.6795580110497238
ReplogleWeissman2022_K562_essential,ridge,unseen_perturbation_split,0.7,247,0.5060728744939271
ReplogleWeissman2022_rpe1,mean_global,dataset_heldout_split,0.7,1797,0.444629938786867
ReplogleWeissman2022_rpe1,mean_global,random_split,0.7,112,0.5714285714285714
ReplogleWeissman2022_rpe1,mean_global,unseen_perturbation_split,0.7,36,0.5277777777777778
ReplogleWeissman2022_rpe1,mean_matching,dataset_heldout_split,0.7,1797,0.19755147468002227
ReplogleWeissman2022_rpe1,mean_matching,random_split,0.7,112,0.6071428571428571
ReplogleWeissman2022_rpe1,mean_matching,unseen_perturbation_split,0.7,36,0.3055555555555556
