candidate_control_labels,candidate_perturbation_columns,cell_line_type_columns,combination_support,condition_timepoint_batch_columns,dataset_id,eligible_common_core,eligible_context_expansion,eligible_external,filename,metadata_completeness_flags,n_controls,n_obs,n_unique_perturbations,n_vars,obs_columns,perturbation_modality,primary_perturbation_column,size_bytes,source_study
*,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,AdamsonWeissman2016_GSM2406675_10X001,common_core_candidate,,,AdamsonWeissman2016_GSM2406675_10X001.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,6,5768,9,35635,UMI count;cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;read count;tissue_type,RNA,perturbation,34557246,Adamson et al. 2016
*;3x_neg_ctrl_pMJ144-1;3x_neg_ctrl_pMJ144-2,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,AdamsonWeissman2016_GSM2406677_10X005,common_core_candidate,,,AdamsonWeissman2016_GSM2406677_10X005.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,3378,15006,20,32738,UMI count;cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;read count;tissue_type,RNA,perturbation,139059637,Adamson et al. 2016
*,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,AdamsonWeissman2016_GSM2406681_10X010,common_core_candidate,,,AdamsonWeissman2016_GSM2406681_10X010.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,101,65337,114,32738,UMI count;cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;read count;tissue_type,RNA,perturbation,471286951,Adamson et al. 2016
control,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=29340;present=True,batch;replicate;time,AissaBenevolenskaya2021,,,,AissaBenevolenskaya2021.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=True,29983,119071,4,17820,GEO;batch;cancer;cell_line;celltype;chembl-ID;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;replicate;subseries;time;tissue_type,RNA,perturbation,45919115,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;disease;organism,rows=0;present=False,sample,ChangYe2021,,,,ChangYe2021.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,21043,42277,4,45066,cancer;chembl-ID;disease;dose_unit;dose_value;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;sex,RNA,perturbation,501823050,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,bio_replicate,CuiHacohen2023,,,,CuiHacohen2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=False,1296,96034,87,31053,MULTI_ID;MULTI_classification;RNA_snn_res.1.5;bio_replicate;cancer;celltype;channel;channel_hashtag;cluster_manual;cytokine_family;disease;nFeature_HTO;ncounts;ncounts_tags;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;seurat_clusters;tissue_type,RNA,perturbation,472111867,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_2;perturbation_type;perturbation_type_2;target,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,replicate,DatlingerBock2017,,context_expansion_supplementary,,DatlingerBock2017.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=False,1320,5905,97,36722,cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_2;perturbation_type;perturbation_type_2;replicate;target;tissue_type,RNA,perturbation,39085166,Datlinger et al.
control,ngenes;nperts;perturbation;perturbation_2;perturbation_type;perturbation_type_2,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,sample,DatlingerBock2021,,context_expansion_supplementary,,DatlingerBock2021.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,4497,39194,41,25904,cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_2;perturbation_type;perturbation_type_2;sample;tissue_type,RNA,perturbation,33600780,Datlinger et al.
control,guide_id;ngenes;nperts;perturbation;perturbation_type;target,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,time,DixitRegev2016_K562_TFs_13_days,,,,DixitRegev2016_K562_TFs_13_days.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=False,3491,19268,27,21713,cancer;cell_line;celltype;disease;guide_id;moi;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;target;time;tissue_type,RNA,perturbation,121166672,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type;target,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,time,DixitRegev2016_K562_TFs_7_days,,,,DixitRegev2016_K562_TFs_7_days.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=False,5381,33013,27,23111,cancer;cell_line;celltype;disease;guide_id;moi;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;target;time;tissue_type,RNA,perturbation,256685252,unknown/local scPerturb record
